N,bits,seed,params,mse,nmse,best_nmse,steps,success
54,16,1,82464,0.0002839642984326929,0.0002870358002948805,0.0002870358002948805,101,True
54,16,2,82464,0.0004909513518214226,0.000480287878661954,0.000480287878661954,101,True
81,16,0,82464,0.0006559930625371635,0.0006535180850380294,0.0006535180850380294,101,True
81,16,1,82464,0.00022662921401206404,0.00023152157435019273,0.00023152157435019273,101,True
81,16,2,82464,0.00012556953879538924,0.00012374737714786446,0.00012374737714786446,201,True
122,16,0,82464,0.0003718500956892967,0.0003682708224466839,0.0003682708224466839,101,True
122,16,1,82464,0.00045718371984548867,0.00046306079288330686,0.00046306079288330686,101,True
122,16,2,82464,0.0004742800665553659,0.0004724900515917926,0.0004724900515917926,101,True
183,16,0,82464,0.0005908727762289345,0.0005930471602242843,0.0005930471602242843,201,True
183,16,1,82464,0.0009595289593562484,0.000983724866990527,0.000983724866990527,101,True
183,16,2,82464,0.0005983516457490623,0.0006098724781908253,0.0006098724781908253,201,True
275,16,0,82464,0.0009864275343716145,0.0009893345258596364,0.0009893345258596364,501,True
275,16,1,82464,0.0008662112522870302,0.0008702866645476571,0.0008702866645476571,301,True
275,16,2,82464,0.000771726481616497,0.0007819967630959129,0.0007819967630959129,201,True
413,16,0,82464,0.0007403256604447961,0.000734145041310656,0.000734145041310656,1701,True
413,16,1,82464,0.0008235721616074443,0.000827575470021793,0.000827575470021793,901,True
413,16,2,82464,0.0009496301645413041,0.0009660930370956209,0.0009660930370956209,1001,True
620,16,0,82464,0.0018778573721647263,0.0018842772197799821,0.0012739537143779507,5000,False
620,16,1,82464,0.0010875377338379622,0.001077977226338485,0.0013418637741558664,5000,False
620,16,2,82464,0.0021939557045698166,0.0022064952276613925,0.0013441817645546143,5000,False
930,16,0,82464,0.003736319253221154,0.003741946486594916,0.0027668002132674647,5000,False
930,16,1,82464,0.00489987526088953,0.004919689239671353,0.002847073003892616,5000,False
930,16,2,82464,0.003751796670258045,0.0037360780429955974,0.002565912418424489,5000,False
1395,16,0,82464,0.011653159745037556,0.01168084962339258,0.005481020624707537,5000,False
1395,16,1,82464,0.007184496149420738,0.007194686596839427,0.005922468453213832,5000,False
1395,16,2,82464,0.010771437548100948,0.010711567951729933,0.00690872494396203,5000,False
2093,16,0,82464,0.028978534042835236,0.02921133372705096,0.028586717134758258,5000,False
2093,16,1,82464,0.045916665345430374,0.04592689248141885,0.027987862014890796,5000,False
2093,16,2,82464,0.08025680482387543,0.07966242829262313,0.03325458290106372,5000,False
3140,16,0,82464,0.14502419531345367,0.14535791553187477,0.14331347635267663,5000,False
3140,16,1,82464,0.15857525169849396,0.15895709627218813,0.13998248123863524,5000,False
3140,16,2,82464,0.15234921872615814,0.15174209535744726,0.13959840342814564,5000,False
16,32,0,82464,1.1840857951028738e-05,1.2304398582407183e-05,1.2304398582407183e-05,101,True
16,32,1,82464,1.3149039659765549e-05,1.2687404663090965e-05,1.2687404663090965e-05,101,True
16,32,2,82464,1.43928100442281e-05,1.3309655843504868e-05,1.3309655843504868e-05,101,True
24,32,0,82464,1.8430609998176806e-05,1.8779401806034213e-05,1.8779401806034213e-05,101,True
24,32,1,82464,1.6451107512693852e-05,1.587089138901064e-05,1.587089138901064e-05,101,True
24,32,2,82464,1.9133636669721454e-05,1.760264684017056e-05,1.760264684017056e-05,101,True
36,32,0,82464,3.0145443815854378e-05,3.074985946534172e-05,3.074985946534172e-05,101,True
36,32,1,82464,2.360914550081361e-05,2.4447939317238294e-05,2.4447939317238294e-05,101,True
36,32,2,82464,3.133752761641517e-05,2.8855276541619984e-05,2.8855276541619984e-05,101,True
54,32,0,82464,0.0002127435727743432,0.0002086365071327498,0.0002086365071327498,101,True
54,32,1,82464,0.0001559150987304747,0.00015760155550950298,0.00015760155550950298,101,True
54,32,2,82464,7.281031139427796e-05,7.122886997772017e-05,7.122886997772017e-05,101,True
81,32,0,82464,0.00011766749958042055,0.0001172235552302859,0.0001172235552302859,201,True
81,32,1,82464,9.110621613217518e-05,9.307297244955933e-05,9.307297244955933e-05,101,True
81,32,2,82464,0.00032911018934100866,0.00032433441353917205,0.00032433441353917205,101,True
122,32,0,82464,0.00024141892208717763,0.00023909512468036167,0.00023909512468036167,101,True
122,32,1,82464,0.0002273916034027934,0.00023031471068630838,0.00023031471068630838,101,True
122,32,2,82464,0.000246307608904317,0.0002453780014072471,0.0002453780014072471,101,True
183,32,0,82464,0.0008270958787761629,0.0008301395526663505,0.0008301395526663505,101,True
183,32,1,82464,0.00047532765893265605,0.0004873137319108686,0.0004873137319108686,201,True
183,32,2,82464,0.0007177998195402324,0.0007316205410280093,0.0007316205410280093,101,True
275,32,0,82464,0.0002882615081034601,0.0002891110117123744,0.0002891110117123744,201,True
275,32,1,82464,0.00015074781549628824,0.00015145706453214896,0.00015145706453214896,201,True
275,32,2,82464,0.0009388301405124366,0.0009513242689816652,0.0009513242689816652,301,True
413,32,0,82464,0.0006477758288383484,0.0006423678632682421,0.0006423678632682421,301,True
413,32,1,82464,0.0003908207581844181,0.00039272050188955747,0.00039272050188955747,401,True
