name,layer,kind,m,n,min_dim,base_fro,ft_fro,delta_fro,rel_fro,spectral,nuclear,stable_rank,erank_entropy,r50,r90,r95,r99,numerical_rank,sigma_max_ratio,method,sec
model.layers.15.mlp.up_proj.weight,15,up_proj,12288,4096,4096,189.35939025878906,189.3443603515625,2.577111272621523,0.013609630180470513,0.3351067900657654,123.22146475291811,59.14252820588282,3084.9948970029977,243,1637,2277,3362,4096,209.0443579538217,svd,15.18
model.layers.15.post_attention_layernorm.weight,15,post_attention_layernorm,4096,1,1,28.073262795211015,28.07287675957015,0.011596799533390986,0.0004130905487540571,,,,,,,,,,,1d,0.0
model.layers.15.self_attn.k_norm.weight,15,k_norm,128,1,1,21.584050335461633,21.584050841154333,0.0004861906117661993,2.2525457650892672e-05,,,,,,,,,,,1d,0.0
model.layers.15.self_attn.k_proj.weight,15,k_proj,1024,4096,1024,54.13428458047641,54.130276888710505,0.7497565881579117,0.013849939903487676,0.10405305607000222,19.1097626909548,51.91954777421521,818.2999020368578,84,485,644,883,1024,52.09076338668866,gram,0.9
model.layers.15.self_attn.o_proj.weight,15,o_proj,4096,4096,4096,103.56718444824219,103.55975341796875,1.3447516266794255,0.01298434087827746,0.16512693464756012,51.954984795991265,66.320580482453,2280.364866874234,128,900,1343,2303,4064,235403.5624715211,svd,7.19
model.layers.15.self_attn.q_norm.weight,15,q_norm,128,1,1,19.99573042128318,19.995729803032393,0.0007349606066157407,3.675587693627946e-05,,,,,,,,,,,1d,0.0
model.layers.15.self_attn.q_proj.weight,15,q_proj,4096,4096,4096,107.30179595947266,107.29039764404297,1.489448229248955,0.013880925439603065,0.23576824367046356,59.01082664145268,39.90986037118285,2364.067291741679,134,1002,1450,2371,4057,1478589.1627084697,svd,6.92
model.layers.15.self_attn.v_proj.weight,15,v_proj,1024,4096,1024,58.486753685867605,58.48384262789161,0.68323928151807,0.01168194913309323,0.09342816052726176,18.180828834712997,53.47983492951471,852.4961821917227,111,531,688,914,1024,18.304293317583625,gram,0.89
model.layers.16.input_layernorm.weight,16,input_layernorm,4096,1,1,26.680709208282057,26.680607557001302,0.014408951346780215,0.0005400512870290173,,,,,,,,,,,1d,0.0
model.layers.16.mlp.down_proj.weight,16,down_proj,4096,12288,4096,185.7312469482422,185.71559143066406,2.5647212430435045,0.013808776310849853,0.21242795884609222,131.15789085673168,145.7662515113668,3271.1573866056724,357,1906,2537,3527,4096,29.41516191295648,svd,23.83
model.layers.16.mlp.gate_proj.weight,16,gate_proj,12288,4096,4096,189.12429809570312,189.1069793701172,2.7564977349284083,0.014575058639654621,0.45685362815856934,135.1638808734715,36.405007374802416,3205.5836625653806,262,1826,2471,3481,4096,175.51773585081187,svd,15.51
model.layers.16.mlp.up_proj.weight,16,up_proj,12288,4096,4096,189.37307739257812,189.35690307617188,2.612891597863827,0.013797587459843526,0.35413265228271484,124.94431975507177,54.43908793761403,3080.196510798198,246,1631,2269,3354,4096,224.75842861751212,svd,15.31
model.layers.16.post_attention_layernorm.weight,16,post_attention_layernorm,4096,1,1,28.994273056077226,28.99393832228879,0.013530607456271784,0.0004666648282611552,,,,,,,,,,,1d,0.0
model.layers.16.self_attn.k_norm.weight,16,k_norm,128,1,1,20.24326355181891,20.243267468924866,0.0010435271536328838,5.154935373743473e-05,,,,,,,,,,,1d,0.0
model.layers.16.self_attn.k_proj.weight,16,k_proj,1024,4096,1024,52.425724142533596,52.42045256462404,0.7638170248197472,0.014569508334173663,0.10209587781426717,19.400882776305657,55.970895232704244,814.4553552083537,82,480,639,878,1024,64.33934369371552,gram,0.64
model.layers.16.self_attn.o_proj.weight,16,o_proj,4096,4096,4096,106.20541381835938,106.19709014892578,1.3974690866886041,0.01315817185250697,0.16304750740528107,55.149412580299895,73.46087408159367,2325.5751533005296,144,948,1393,2341,4069,100471.89504156027,svd,6.55
model.layers.16.self_attn.q_norm.weight,16,q_norm,128,1,1,18.381581114442767,18.3815857712625,0.0007425247229367944,4.039504100946669e-05,,,,,,,,,,,1d,0.0
model.layers.16.self_attn.q_proj.weight,16,q_proj,4096,4096,4096,103.83583068847656,103.82494354248047,1.5386264495313593,0.014817875865484817,0.24018345773220062,61.433138725134995,41.03743446828214,2388.4513241248856,138,1022,1476,2401,4060,405703.3852733781,svd,7.57
model.layers.16.self_attn.v_proj.weight,16,v_proj,1024,4096,1024,58.476171430442456,58.47217771038018,0.6820745835879956,0.011664145700771693,0.08741484390652983,18.331698527217362,60.88262376525503,860.7203734995178,117,545,701,920,1024,15.749852779354665,gram,0.64
model.layers.17.input_layernorm.weight,17,input_layernorm,4096,1,1,25.419266361162837,25.41977586151054,0.01501018178607363,0.000590504130717421,,,,,,,,,,,1d,0.0
model.layers.17.mlp.down_proj.weight,17,down_proj,4096,12288,4096,186.5786895751953,186.56285095214844,2.6117969821030567,0.013998367059226403,0.2244722694158554,133.30940999789163,135.37966554141096,3268.0463906367245,351,1902,2537,3530,4096,31.103343058884136,svd,24.7
model.layers.17.mlp.gate_proj.weight,17,gate_proj,12288,4096,4096,187.11322021484375,187.0959014892578,2.7984968695932366,0.014956168604120983,0.4925439655780792,134.1532784893643,32.281941454482215,3144.31213142226,227,1729,2382,3434,4096,140.59669708854022,svd,19.22
model.layers.17.mlp.up_proj.weight,17,up_proj,12288,4096,4096,190.42784118652344,190.40989685058594,2.6713269214536934,0.014028027124653078,0.4069308340549469,126.08706197619904,43.093610778955345,3056.8335241528694,224,1595,2240,3342,4096,224.16604570923081,svd,15.64
model.layers.17.post_attention_layernorm.weight,17,post_attention_layernorm,4096,1,1,28.597508663981408,28.59714502710337,0.013125263084280669,0.00045896526297101864,,,,,,,,,,,1d,0.0
model.layers.17.self_attn.k_norm.weight,17,k_norm,128,1,1,21.361892525369814,21.361906368318657,0.001905577791229146,8.920453976472143e-05,,,,,,,,,,,1d,0.0
model.layers.17.self_attn.k_proj.weight,17,k_proj,1024,4096,1024,51.24523784174038,51.24041365374759,0.7855308016649863,0.015328854636032906,0.11036005179380792,20.065410031376416,50.66436999724559,820.8310458046114,84,488,648,887,1024,49.40770688187247,gram,1.01
model.layers.17.self_attn.o_proj.weight,17,o_proj,4096,4096,4096,105.56769561767578,105.5598373413086,1.3497983732569405,0.01278609299330887,0.19110959768295288,51.428468793614684,49.88532481360103,2245.657389379899,123,866,1301,2260,4060,107037.96787264897,svd,6.93
model.layers.17.self_attn.q_norm.weight,17,q_norm,128,1,1,19.926733810324585,19.92674833390745,0.0014447583605423232,7.250352086269562e-05,,,,,,,,,,,1d,0.0
model.layers.17.self_attn.q_proj.weight,17,q_proj,4096,4096,4096,105.27765655517578,105.26568603515625,1.5744159934674504,0.0149548920918684,0.25636667013168335,62.76138988023422,37.71515185109601,2388.355628360704,136,1019,1474,2402,4060,104531.8032398658,svd,7.23
model.layers.17.self_attn.v_proj.weight,17,v_proj,1024,4096,1024,57.25976383484369,57.25724148249781,0.6787775321368715,0.011854354378664242,0.08311685909212826,18.074645308013263,66.69244978985041,852.8004945866267,112,532,688,913,1024,16.591236405871083,gram,0.78
model.layers.18.input_layernorm.weight,18,input_layernorm,4096,1,1,26.816030806978482,26.81626142808632,0.014711371967951982,0.0005486036346633005,,,,,,,,,,,1d,0.0
model.layers.18.mlp.down_proj.weight,18,down_proj,4096,12288,4096,186.4953155517578,186.48045349121094,2.676053916671174,0.014349174984657874,0.21738776564598083,137.12151927594095,151.53729161048895,3278.5491461971096,359,1918,2552,3538,4096,28.95465064287858,svd,23.56
model.layers.18.mlp.gate_proj.weight,18,gate_proj,12288,4096,4096,185.7686767578125,185.75120544433594,2.8384356242105593,0.01527940917569772,0.4928523302078247,136.11763337510638,33.16839595332896,3141.079328019372,229,1725,2379,3431,4096,198.00125042513332,svd,15.71
model.layers.18.mlp.up_proj.weight,18,up_proj,12288,4096,4096,190.42137145996094,190.40725708007812,2.718655133606591,0.014277048383606546,0.4102398455142975,128.68992182111833,43.91698934531684,3063.7056185629835,228,1606,2252,3350,4096,288.24358187859184,svd,14.96
model.layers.18.post_attention_layernorm.weight,18,post_attention_layernorm,4096,1,1,29.23872192303464,29.238469666938773,0.012805384310850014,0.00043795978307661015,,,,,,,,,,,1d,0.0
model.layers.18.self_attn.k_norm.weight,18,k_norm,128,1,1,21.245316334122418,21.245318857973796,0.0007371156020576159,3.4695440183853085e-05,,,,,,,,,,,1d,0.0
model.layers.18.self_attn.k_proj.weight,18,k_proj,1024,4096,1024,52.09245430941027,52.087672498104176,0.7900408730558214,0.015166128828625546,0.11317611271508839,20.171535474694743,48.72923286492236,819.866759173305,85,488,647,883,1024,55.13682164299326,gram,0.68
model.layers.18.self_attn.o_proj.weight,18,o_proj,4096,4096,4096,105.66075134277344,105.6539077758789,1.3908514284915845,0.013163368713700684,0.16714128851890564,52.87183393595569,69.24588816596972,2231.7140386136707,123,848,1284,2254,4066,85428.34162078539,svd,6.44
model.layers.18.self_attn.q_norm.weight,18,q_norm,128,1,1,19.739549814724626,19.739550091296937,0.0005758045124546267,2.9170093434708365e-05,,,,,,,,,,,1d,0.0
model.layers.18.self_attn.q_proj.weight,18,q_proj,4096,4096,4096,103.88650512695312,103.87625885009766,1.5797611346998772,0.015206605831713522,0.2577432692050934,62.88424923167918,37.56714443759383,2381.8360912471776,137,1015,1468,2393,4058,460965.1947642974,svd,7.45
model.layers.18.self_attn.v_proj.weight,18,v_proj,1024,4096,1024,58.54443850005205,58.542903024283696,0.6940012829009858,0.01185426490853366,0.0855855393996812,18.469582053546663,65.75363435362442,852.1478195301931,111,531,688,914,1024,16.288399043620537,gram,0.63
model.layers.19.input_layernorm.weight,19,input_layernorm,4096,1,1,33.5125407367019,33.512491790218405,0.009468124721516268,0.0002825248254348793,,,,,,,,,,,1d,0.0
model.layers.19.mlp.down_proj.weight,19,down_proj,4096,12288,4096,186.78176879882812,186.7660369873047,2.7235019338826296,0.014581197894190316,0.22428584098815918,139.97285682987422,147.45233711964727,3287.274118722649,367,1929,2562,3543,4096,29.275840987961566,svd,25.21
model.layers.19.mlp.gate_proj.weight,19,gate_proj,12288,4096,4096,185.18234252929688,185.16444396972656,2.8779785904953346,0.015541322953294032,0.5239977836608887,138.12326382263564,30.16589517740662,3141.1745134421285,233,1721,2374,3427,4096,138.00332193501765,svd,15.28
model.layers.19.mlp.up_proj.weight,19,up_proj,12288,4096,4096,191.6469268798828,191.63124084472656,2.765170206400188,0.014428460979879315,0.43894651532173157,131.30544164404273,39.68446469947384,3073.565335732248,233,1618,2264,3355,4096,229.35656055111923,svd,15.18
model.layers.19.post_attention_layernorm.weight,19,post_attention_layernorm,4096,1,1,29.553771611838954,29.553497552735617,0.01223210534921096,0.00041389320828041064,,,,,,,,,,,1d,0.0
model.layers.19.self_attn.k_norm.weight,19,k_norm,128,1,1,22.245834357532917,22.245835404412507,0.0007079321722205838,3.182313420313817e-05,,,,,,,,,,,1d,0.0
model.layers.19.self_attn.k_proj.weight,19,k_proj,1024,4096,1024,50.401372177824456,50.39741213610789,0.8088104824538027,0.016047390130573592,0.11301803715365402,20.406743250602695,51.21509960063939,808.6983393946934,80,472,629,869,1024,53.47885302148683,gram,0.7
model.layers.19.self_attn.o_proj.weight,19,o_proj,4096,4096,4096,106.56065368652344,106.5526351928711,1.4412536058166197,0.013525194862790893,0.2677851617336273,55.01629788866933,28.967285281867124,2242.4141326674953,130,862,1290,2248,4048,152514.36979604972,svd,12.98
model.layers.19.self_attn.q_norm.weight,19,q_norm,128,1,1,20.70702077600741,20.707019914387576,0.0011013844258190057,5.318893711137301e-05,,,,,,,,,,,1d,0.0
model.layers.19.self_attn.q_proj.weight,19,q_proj,4096,4096,4096,104.71207427978516,104.70269775390625,1.617916952371627,0.015451102115011328,0.2673012912273407,63.436809661084226,36.6361929573797,2340.0478590846415,128,973,1420,2348,4054,104790.5533413165,svd,10.18
model.layers.19.self_attn.v_proj.weight,19,v_proj,1024,4096,1024,57.5047358321779,57.50115897461526,0.7187974184972641,0.012499795157654378,0.09570993513342801,19.337530486647083,56.402580446789884,861.4653143716076,120,546,699,917,1024,18.8228839461361,gram,0.72
model.layers.20.input_layernorm.weight,20,input_layernorm,4096,1,1,30.76897932901258,30.769241937970005,0.009468124721516268,0.0003077165680497016,,,,,,,,,,,1d,0.0
model.layers.20.mlp.down_proj.weight,20,down_proj,4096,12288,4096,188.13992309570312,188.12472534179688,2.751372024311841,0.014624073290984906,0.21750468015670776,141.62547727534547,160.01526738373138,3291.939522083366,370,1937,2568,3546,4096,27.915505895609524,svd,27.68
model.layers.20.mlp.gate_proj.weight,20,gate_proj,12288,4096,4096,183.484130859375,183.46693420410156,2.900777621220835,0.01580941963555431,0.4993266463279724,140.8693601563573,33.748881757265174,3171.0844043423567,251,1769,2418,3450,4096,124.2141663086262,svd,16.08
model.layers.20.mlp.up_proj.weight,20,up_proj,12288,4096,4096,192.03627014160156,192.0197296142578,2.794760617886277,0.014553295665581783,0.4220241606235504,134.25978519732598,43.854544051386256,3103.3137566898404,251,1663,2305,3377,4096,220.4992171558705,svd,15.87
model.layers.20.post_attention_layernorm.weight,20,post_attention_layernorm,4096,1,1,30.948633572287036,30.948182452299765,0.01088654365904832,0.00035176169033828775,,,,,,,,,,,1d,0.0
model.layers.20.self_attn.k_norm.weight,20,k_norm,128,1,1,22.04876277828463,22.048760701388527,0.001151699054026027,5.2234180466591054e-05,,,,,,,,,,,1d,0.0
model.layers.20.self_attn.k_proj.weight,20,k_proj,1024,4096,1024,50.334461608269606,50.32955074963413,0.8258984232240036,0.01640821013745179,0.11927311237212453,21.31130285606582,47.94774310022917,828.1690430169879,91,501,658,888,1024,41.50093119301222,gram,0.91
model.layers.20.self_attn.o_proj.weight,20,o_proj,4096,4096,4096,104.54391479492188,104.53532409667969,1.4429782087988687,0.013802603543491433,0.16226132214069366,57.40750715175727,79.08416335093993,2333.025165324896,154,960,1400,2342,4068,62515.130201565225,svd,6.96
model.layers.20.self_attn.q_norm.weight,20,q_norm,128,1,1,20.682558545970092,20.682556174813406,0.0011112757236348342,5.373008959045388e-05,,,,,,,,,,,1d,0.0
model.layers.20.self_attn.q_proj.weight,20,q_proj,4096,4096,4096,107.88643646240234,107.87439727783203,1.630661924692949,0.015114614757539129,0.2959458827972412,65.2422185037293,30.360104113898398,2406.83521521111,137,1037,1497,2423,4054,195594.18558552343,svd,7.5
model.layers.20.self_attn.v_proj.weight,20,v_proj,1024,4096,1024,57.69303118209951,57.690800859150585,0.7188673419565115,0.012460211003431258,0.08554228947982813,19.45496741576273,70.62130993542881,866.2580422334786,123,554,708,923,1024,14.773853611214044,gram,0.64
model.layers.21.input_layernorm.weight,21,input_layernorm,4096,1,1,34.231878094694345,34.232023366424905,0.01000678785738242,0.0002923236589503132,,,,,,,,,,,1d,0.0
